listeritemindex;listeritemheader;certificate;runtime;genre;rating;votes
1;Stranger Things;15;60;Drama, Fantasy, Horror;8.7;1327188
2;13 Reasons Why;18;60;Drama, Mystery, Thriller;7.5;314321
3;Orange Is the New Black;18;59;Comedy, Crime, Drama;8;319342
4;Black Mirror;18;60;Drama, Mystery, Sci-Fi;8.7;636319
5;Money Heist;15;60;Action, Crime, Drama;8.2;529086
6;Lucifer;15;4393;Crime, Drama, Fantasy;8.1;354155
7;Narcos;15;50;Biography, Crime, Drama;8.8;467909
8;Daredevil;15;60;Action, Crime, Drama;8.6;472940
9;Sense8;15;60;Drama, Mystery, Sci-Fi;8.2;162528
10;Jessica Jones;15;56;Action, Crime, Drama;7.9;226187
11;House of Cards;18;50;Drama;8.6;529463
12;The End of the F***ing World;15;25;Adventure, Comedy, Crime;8;218483
13;Dark;15;60;Crime, Drama, Mystery;8.7;440321
14;Sex Education;18;60;Comedy, Drama, Romance;8.3;348817
15;Elite;15;60;Crime, Drama, Thriller;7.2;90237
16;You;15;45;Crime, Drama, Romance;7.7;297650
17;Chilling Adventures of Sabrina;15;60;Drama, Fantasy, Horror;7.4;107853
18;The OA;15;60;Drama, Fantasy, Mystery;7.8;115239
19;The Punisher;18;60;Action, Crime, Drama;8.4;263516
20;The Umbrella Academy;15;60;Action, Adventure, Comedy;7.9;273779
21;Iron Fist;18;55;Action, Adventure, Crime;6.4;139364
22;Luke Cage;15;55;Action, Crime, Drama;7.2;139241
23;Atypical;12;30;Comedy, Drama;8.2;103009
24;Big Mouth;18;30;Animation, Comedy, Romance;7.8;89033
25;The Rain;15;45;Drama, Sci-Fi, Thriller;6.3;41355
26;The Defenders;15;50;Action, Adventure, Crime;7.2;116048
27;The Crown;15;60;Biography, Drama, History;8.6;255352
28;A Series of Unfortunate Events;PG;1164;Adventure, Comedy, Drama;7.7;66482
29;Insatiable;15;45;Comedy, Drama, Thriller;6.5;32495
30;Mindhunter;18;60;Crime, Drama, Mystery;8.6;333075
31;3%;15;49;Action, Drama, Sci-Fi;7.3;28008
32;Altered Carbon;18;60;Action, Drama, Sci-Fi;7.9;187859
33;The Haunting of Hill House;15;572;Drama, Horror, Mystery;8.6;286535
34;Santa Clarita Diet;15;30;Comedy, Horror;7.8;75813
35;Disenchantment;15;30;Animation, Action, Adventure;7.2;72503
36;BoJack Horseman;18;25;Animation, Comedy, Drama;8.8;186993
37;Girlboss;15;26;Comedy;7;19687
38;Ozark;18;60;Crime, Drama, Thriller;8.5;344631
39;Lost in Space;12;60;Adventure, Drama, Family;7.3;105388
40;Baby;15;50;Drama;6.8;13083
41;Unbreakable Kimmy Schmidt;12;30;Comedy;7.6;78450
42;Everything Sucks!;15;30;Comedy, Drama;7.4;23120
43;Cable Girls;15;50;Drama;7.5;16087
44;The Last Kingdom;18;60;Action, Drama, History;8.5;164641
45;The Society;15;58;Drama, Mystery, Sci-Fi;7.1;36504
46;Maniac;18;386;Comedy, Drama, Sci-Fi;7.7;86275
47;Gilmore Girls: A Year in the Life;12;370;Comedy, Drama;7.5;44543
48;Russian Doll;18;30;Comedy, Drama, Mystery;7.7;106602
49;Castlevania;15;23;Animation, Action, Adventure;8.3;79792
50;On My Block;15;30;Comedy, Drama;7.8;19427
51;Marco Polo;15;60;Action, Adventure, Drama;8;78306
52;Grace and Frankie;15;30;Comedy;8.2;56789
53;Love, Death & Robots;18;15;Animation, Short, Action;8.4;195422
54;Dear White People;15;30;Comedy, Drama;6.4;26364
55;Safe;15;356;Crime, Drama, Mystery;7.2;51704
56;Greenhouse Academy;PG;25;Adventure, Comedy, Drama;6.6;6921
57;RuPaul's Drag Race;15;63;Game-Show, Reality-TV;8.5;23189
58;The Order;15;60;Drama, Fantasy, Horror;6.7;33053
59;Fuller House;PG;30;Comedy, Drama, Family;6.7;29332
60;Travelers;15;45;Drama, Mystery, Sci-Fi;8;63928
61;Master of None;15;30;Comedy, Drama;8.2;76143
62;Love;15;50;Comedy, Drama, Romance;7.6;45854
63;Narcos: Mexico;15;60;Crime, Drama;8.4;92447
64;The Hookup Plan;15;27;Comedy, Romance;7.1;5910
65;One Day at a Time;15;30;Comedy, Drama;8.2;18238
66;Between;15;60;Drama, Mystery, Sci-Fi;5.9;9906
67;GLOW;18;35;Comedy, Drama, Sport;8;50376
68;Making a Murderer;15;60;Documentary, Crime;8.5;102505
69;Gypsy;15;51;Drama, Thriller;6.7;18683
70;The Get Down;15;52;Drama, Music, Musical;8.2;23633
71;The Protector;15;45;Action, Adventure, Drama;6.4;36866
72;Friends from College;18;30;Comedy, Drama;6.9;23324
73;Arrested Development;15;22;Comedy;8.7;323189
74;Hemlock Grove;15;46;Drama, Fantasy, Horror;7;42524
75;Slasher;18;60;Crime, Drama, Horror;6.7;16830
76;F Is for Family;15;30;Animation, Comedy, Drama;8;41074
77;The Ranch;15;30;Comedy, Drama, Western;7.5;42401
78;American Vandal;15;34;Comedy, Crime, Drama;8.1;32985
79;Dead to Me;15;30;Comedy, Crime, Drama;7.9;99440
80;Quicksand;18;45;Crime, Drama, Mystery;7.4;25507
